,Price,Age,Odometer,mileage,engineCC,powerBhp,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,FuelType_Diesel,FuelType_Electric,FuelType_LPG,FuelType_Petrol,Transmission_Manual,OwnerType_Fourth +ACY- Above,OwnerType_Second,OwnerType_Third
0,1.75,10,72000,26.6,998.0,58.16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,12.5,5,41000,19.67,1582.0,126.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
2,4.5,9,46000,18.2,1199.0,88.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3,6.0,8,87000,20.77,1248.0,88.76,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4,17.74,7,40670,15.2,1968.0,140.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5,2.35,8,75000,21.1,814.0,55.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
6,3.5,7,86999,23.08,1461.0,63.1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
7,17.5,4,36000,11.36,2755.0,171.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8,5.2,7,64430,20.54,1598.0,103.6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
9,1.95,8,65932,22.3,1248.0,74.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
10,9.95,2,25692,21.56,1462.0,103.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
11,4.49,8,60000,16.8,1497.0,116.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12,5.6,5,64424,25.2,1248.0,74.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
13,27.0,6,72000,12.7,2179.0,187.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,17.5,8,85000,12.38,2179.0,115.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
15,15.0,6,110000,13.5,2477.0,175.56,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
16,5.4,4,58950,25.8,1498.0,98.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
17,5.99,3,25000,28.4,1248.0,74.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
18,6.34,6,77469,20.45,1461.0,83.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
19,28.0,6,78500,14.84,2143.0,167.62,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,18.55,6,32982,22.69,1995.0,190.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21,8.25,5,55392,23.65,1248.0,88.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
